Ciudad,Total_Features,Total_Buildings,3 Mobility Networks,4 Buildings,2 Basic Social Services,1 Critical Infrastructure
Santo Domingo Dominican Republic,159387,9403,149328,9403,454,202
Havana Cuba,73675,9303,63154,9303,1049,169
Santiago De Cuba Cuba,20006,4921,14923,4921,132,30
Santiago Dominican Republic,77800,4911,72521,4911,217,151
Castries,7261,3689,3401,3689,126,45
Port-Au-Prince Haiti,42103,2842,38972,2842,243,46
Holguín Cuba,15279,875,14324,875,72,8
Port Of Spain,4507,854,3427,854,151,75
Kingston Jamaica,4026,468,3464,468,47,47
Willemstad Curaçao,721,400,298,400,8,15
Delmas Haiti,8192,334,7838,334,13,7
Pétion-Ville Haiti,8314,246,8049,246,8,11
